	GDP_CAP_PPP
AU	41894,17
AT	44452,73
BE	41248,73
BR	14973,10
BG	15676,14
CA	41565,27
CN	10384,37
CY	25108,33
CZ	28797,42
DK	44403,39
EE	24543,07
FI	40683,53
FR	37440,64
DE	42692,52
GR	26141,32
HU	22841,21
HR	20758,55
IN	4635,88
ID	8837,82
IE	44937,56
IT	36347,34
JP	35774,70
LV	19773,35
LT	22854,32
LU	92005,02
MT	28612,40
MX	16049,36
NL	46599,02
NO	62145,03
PL	22850,64
PT	26780,21
RO	17907,65
RU	24310,04
SK	25835,00
SI	28804,70
ZA	12118,74
KR	31228,51
ES	32068,27
SE	43808,50
CH	56183,83
TR	19660,89
GB	36820,32
US	49872,83
WA	6453,15
WL	12392,82
WE	9773,34
WF	2769,65
WM	16589,94
