	Population
AU	22340024
AT	8391643
BE	11047744
BR	198686688
BG	7348328
CA	34342780
CN	1344130000
CY	1124835
CZ	10496088
DK	5570572
EE	1327439
FI	5388272
FR	65342776
DE	80274983
GR	11104899
HU	9971727
HR	4280622
IN	1247236029
ID	245707511
IE	4576794
IT	59379449
JP	127833000
LV	2059709
LT	3028115
LU	518347
MT	416268
MX	119090017
NL	16693074
NO	4953088
PL	38063255
PT	10557560
RO	20147528
RU	142960868
SK	5398384
SI	2052843
ZA	51729345,36
KR	49936638
ES	46742697
SE	9449213
CH	7912398
TR	73409455
GB	63258918
US	311663358
WA	813751154
WL	285822469
WE	158263341
WF	849726410
WM	396156980
