name	code	unit	global_id	parent_id	local_id	level	identifier	leaf_children_global	leaf_children_local
Value Added: Total	VA	M.EUR	2	0	1	1	AGG	9#10#11#12#13#14#15	1#1#1#1#1#1#1
Employment: Total	EMP	1000 p	3	0	2	1	AGG	16#17#18#19#20#21	2#2#2#2#2#2
Employment hours: Total	null	M.hr	4	0	3	1	AGG	22#23#24#25#26#27	3#3#3#3#3#3
GHG emissions: Total	null	kg CO2 eq	5	0	4	1	AGG	30#31#32#33#34#35#36#37#38#39#40	4#4#4#4#4#4#4#4#4#4#4
Domestic Extraction Used - Metal Ores - Total	null	kt	7	0	6	1	AGG	41#42#43#44#45#46#47#48#49#50#51#52	6#6#6#6#6#6#6#6#6#6#6#6
Domestic Extraction Used - Non-Metallic Minerals - Total	null	kt	8	0	7	1	AGG	53#54#55#56#57#58#59#60	7#7#7#7#7#7#7#7
Taxes less subsidies on products purchased	null	M.EUR	9	2	1	2	LEAF	None	None
Other net taxes on production	null	M.EUR	10	2	2	2	LEAF	None	None
Compensation of employees; wages, salaries, & employers' social contributions: Low-skilled	null	M.EUR	11	2	3	2	LEAF	None	None
Compensation of employees; wages, salaries, & employers' social contributions: Medium-skilled	null	M.EUR	12	2	4	2	LEAF	None	None
Compensation of employees; wages, salaries, & employers' social contributions: High-skilled	null	M.EUR	13	2	5	2	LEAF	None	None
Operating surplus: Consumption of fixed capital	null	M.EUR	14	2	6	2	LEAF	None	None
Operating surplus: Remaining net operating surplus	null	M.EUR	15	2	7	2	LEAF	None	None
Employment: Low-skilled male	null	1000 p	16	3	8	2	LEAF	None	None
Employment: Low-skilled female	null	1000 p	17	3	9	2	LEAF	None	None
Employment: Medium-skilled male	null	1000 p	18	3	10	2	LEAF	None	None
Employment: Medium-skilled female	null	1000 p	19	3	11	2	LEAF	None	None
Employment: High-skilled male	null	1000 p	20	3	12	2	LEAF	None	None
Employment: High-skilled female	null	1000 p	21	3	13	2	LEAF	None	None
Employment hours: Low-skilled male	null	M.hr	22	4	14	2	LEAF	None	None
Employment hours: Low-skilled female	null	M.hr	23	4	15	2	LEAF	None	None
Employment hours: Medium-skilled male	null	M.hr	24	4	16	2	LEAF	None	None
Employment hours: Medium-skilled female	null	M.hr	25	4	17	2	LEAF	None	None
Employment hours: High-skilled male	null	M.hr	26	4	18	2	LEAF	None	None
Employment hours: High-skilled female	null	M.hr	27	4	19	2	LEAF	None	None
CO2 - combustion	null	kg	30	5	20	2	LEAF	None	None
CH4 - combustion	null	kg	31	5	21	2	LEAF	None	None
N2O - combustion	null	kg	32	5	22	2	LEAF	None	None
CO2 - waste	null	kg	33	5	23	2	LEAF	None	None
CH4 - Waste	null	kg	34	5	24	2	LEAF	None	None
CO2 - non combustion	null	kg	35	5	25	2	LEAF	None	None
CH4 - non combustion	null	kg	36	5	26	2	LEAF	None	None
N2O - non - combustion	null	kg	37	5	27	2	LEAF	None	None
SF6	null	kg	38	5	28	2	LEAF	None	None
HFC	null	kg CO2-eq	39	5	29	2	LEAF	None	None
PFC	null	kg CO2-eq	40	5	30	2	LEAF	None	None
Domestic Extraction Used - Metal Ores - Uranium and thorium ores	null	kt	41	7	31	2	LEAF	None	None
Domestic Extraction Used - Metal Ores - Iron ores	null	kt	42	7	32	2	LEAF	None	None
Domestic Extraction Used - Metal Ores - Copper ores	null	kt	43	7	33	2	LEAF	None	None
Domestic Extraction Used - Metal Ores - Nickel ores	null	kt	44	7	34	2	LEAF	None	None
Domestic Extraction Used - Metal Ores - Bauxite and aluminium ores	null	kt	45	7	35	2	LEAF	None	None
Domestic Extraction Used - Metal Ores - Gold ores	null	kt	46	7	36	2	LEAF	None	None
Domestic Extraction Used - Metal Ores - PGM ores	null	kt	47	7	37	2	LEAF	None	None
Domestic Extraction Used - Metal Ores - Silver ores	null	kt	48	7	38	2	LEAF	None	None
Domestic Extraction Used - Metal Ores - Lead ores	null	kt	49	7	39	2	LEAF	None	None
Domestic Extraction Used - Metal Ores - Tin ores	null	kt	50	7	40	2	LEAF	None	None
Domestic Extraction Used - Metal Ores - Zinc ores	null	kt	51	7	41	2	LEAF	None	None
Domestic Extraction Used - Metal Ores - Other non-ferrous metal ores	null	kt	52	7	42	2	LEAF	None	None
Domestic Extraction Used - Non-Metallic Minerals - Other minerals	null	kt	53	8	43	2	LEAF	None	None
Domestic Extraction Used - Non-Metallic Minerals - Limestone, gypsum, chalk, dolomite	null	kt	54	8	44	2	LEAF	None	None
Domestic Extraction Used - Non-Metallic Minerals - Slate	null	kt	55	8	45	2	LEAF	None	None
Domestic Extraction Used - Non-Metallic Minerals - Building stones	null	kt	56	8	46	2	LEAF	None	None
Domestic Extraction Used - Non-Metallic Minerals - Clays and kaolin	null	kt	57	8	47	2	LEAF	None	None
Domestic Extraction Used - Non-Metallic Minerals - Gravel and sand	null	kt	58	8	48	2	LEAF	None	None
Domestic Extraction Used - Non-Metallic Minerals - Salt	null	kt	59	8	49	2	LEAF	None	None
Domestic Extraction Used - Non-Metallic Minerals - Chemical and fertilizer minerals	null	kt	60	8	50	2	LEAF	None	None
